City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Location (Lat),Landfill Location (Long),Landfill Capacity (Tons),Year
Mumbai,Plastic,9.66,34.23,13664.83,5,Incineration,1789.46,7,West Side Facility,18.682756,72.71336,93143.15,2020
Delhi,Organic,12.19,43.45,16524.36,8,Landfill,1508.74,12,South City Dump,28.580563,77.413053,493765.3,2019
Bhopal,Plastic,13.26,35.54,4610.01,5,Recycling,2065.6,8,South City Dump,22.773942,72.346132,111541.55,2020
Bhopal,Hazardous,29.09,46.24,22077.3,8,Incineration,3275.45,9,East Zone Dump,23.277637,72.69171,354999.09,2023
Indore,Organic,8.98,51.47,6111.14,6,Recycling,1539.43,11,South City Dump,22.568361,72.692206,180232.57,2021
Nagpur,E-Waste,8.44,22.79,6019.14,3,Composting,4769.97,3,North Point Landfill,23.396818,72.586636,486824.07,2019
Ahmedabad,Organic,6.02,21.31,15446.45,3,Incineration,1969.77,3,Central Landfill,23.32191,72.6993,50061.93,2019
Patna,Organic,19.15,21.2,21965.89,1,Recycling,2973.85,0,South City Dump,22.892972,72.555923,312944.84,2019
Bangalore,Plastic,17.58,51.39,9853.93,8,Landfill,1292.54,6,East Zone Dump,13.006936,77.327816,178034.16,2019
Lucknow,Plastic,25.35,63.1,12375.28,10,Recycling,741.61,11,South City Dump,22.95416,72.19898,149050.19,2021
Bhopal,Organic,13.65,51.85,9713.98,10,Recycling,814.87,10,South City Dump,22.610388,72.877265,37270.21,2023
Bhopal,Organic,21.01,34.28,21215.54,3,Composting,2374.53,3,North Point Landfill,23.191143,73.000776,282813.82,2020
Chennai,Plastic,21.33,36.15,14718.7,3,Composting,2954.09,2,Metro Waste Site,13.514714,80.091342,301002.72,2021
Indore,Construction,8.25,56.45,9861.53,8,Landfill,2048.08,12,North Point Landfill,22.588996,72.812521,291491.83,2019
Delhi,Construction,40.75,81.61,21203.89,8,Incineration,1647.87,13,Metro Waste Site,28.735957,76.669119,122222.44,2019
Ahmedabad,Organic,23.39,42.42,14028.38,6,Composting,1679.89,7,East Zone Dump,23.266446,72.104932,289245.95,2020
Indore,Organic,25.99,58.69,19299.01,10,Composting,1227.1,12,West Side Facility,23.216448,72.614124,133381.54,2020
Bangalore,Construction,4.81,61.11,9296.7,10,Landfill,1118.48,6,South City Dump,12.727616,77.820696,300551.82,2019
Patna,Plastic,2.81,36.45,3453.1,4,Recycling,2101.22,3,Central Landfill,22.833944,72.298796,307868.25,2020
Indore,Construction,7.78,67.88,10103.34,5,Recycling,1903.78,6,North Point Landfill,22.663357,72.247787,254200.21,2022
Delhi,Organic,7.1,60.55,11054.21,8,Landfill,1423.52,9,North Point Landfill,29.003882,76.951887,239433.6,2022
Surat,Construction,14.67,67.76,15999.42,8,Composting,2365.41,6,West Side Facility,23.275746,72.343702,449740.9,2023
Bhopal,Organic,9.76,18.7,13637.88,1,Incineration,3016.5,0,East Zone Dump,22.626609,72.871316,97486.88,2020
Delhi,Hazardous,5.17,48.12,16665.91,8,Landfill,3633.28,6,Metro Waste Site,28.289609,76.810386,23000.78,2021
Delhi,Plastic,10.48,36.47,5354.45,4,Composting,2501.53,1,South City Dump,29.034755,76.947692,389178.92,2023
Visakhapatnam,Organic,6.6,44.87,9706.19,5,Landfill,2119.74,5,Central Landfill,22.791177,72.613034,320404.33,2020
Bangalore,Hazardous,5.33,37.23,7189.3,6,Recycling,4830.91,6,Central Landfill,13.191803,77.201179,78609.08,2022
Chennai,Hazardous,17.47,31.72,7328.41,6,Landfill,5189.39,8,East Zone Dump,13.353686,79.83895,420168.71,2023
Bangalore,Construction,21.01,35.49,11492.64,4,Incineration,3008.0,2,Metro Waste Site,12.733864,77.689678,35198.65,2021
Pune,E-Waste,19.45,21.97,12912.79,2,Incineration,4281.26,3,East Zone Dump,18.651933,72.455465,11146.3,2022
Kolkata,E-Waste,29.92,56.78,24224.79,6,Incineration,2844.2,12,North Point Landfill,22.778175,88.789148,98481.92,2019
Mumbai,Construction,13.05,65.86,14630.69,10,Landfill,1484.71,5,South City Dump,19.371342,73.122765,36892.48,2019
Patna,Organic,11.12,79.72,11923.45,10,Incineration,1305.67,10,South City Dump,22.926985,72.643828,403948.72,2020
Kanpur,Plastic,13.37,46.52,13921.64,6,Incineration,2066.89,3,East Zone Dump,23.397202,72.600337,470143.17,2021
Hyderabad,Construction,10.25,62.17,20170.8,7,Incineration,1876.69,4,South City Dump,17.352311,78.283703,427882.69,2023
Visakhapatnam,Plastic,2.63,29.99,18173.28,5,Incineration,2070.26,5,Metro Waste Site,22.940081,72.950518,472918.69,2019
Kolkata,E-Waste,10.0,38.06,12217.64,2,Landfill,4209.01,1,Central Landfill,22.259038,88.643484,181561.38,2023
Kolkata,E-Waste,4.73,75.28,2388.22,7,Recycling,2708.78,7,West Side Facility,22.164087,88.741361,140144.02,2021
Pune,E-Waste,4.86,69.42,4108.36,9,Composting,1870.31,3,South City Dump,19.538122,72.487169,448295.17,2021
Delhi,Plastic,26.55,31.85,24795.41,2,Composting,2702.94,2,Metro Waste Site,28.471128,77.48113,400738.75,2021
Delhi,Plastic,10.04,5.98,16802.84,1,Recycling,2521.52,3,West Side Facility,28.209245,77.422447,122026.33,2021
Hyderabad,Construction,42.36,44.84,22808.83,2,Composting,3381.02,3,South City Dump,17.144804,78.620706,274592.84,2023
Mumbai,Plastic,18.01,44.96,19716.29,6,Recycling,1444.37,9,Central Landfill,18.650694,73.230115,495172.7,2023
Delhi,E-Waste,23.35,38.88,17225.25,4,Recycling,3909.43,4,South City Dump,28.363038,77.071039,472708.78,2022
Kolkata,Plastic,5.82,61.21,3452.65,9,Incineration,1273.14,11,West Side Facility,22.966699,88.093855,114421.3,2019
Kanpur,Organic,1.0,83.57,1747.22,9,Recycling,703.08,5,Metro Waste Site,22.540362,72.868198,154142.31,2019
Kanpur,Hazardous,32.16,62.69,22884.06,10,Recycling,2612.49,9,North Point Landfill,23.014095,72.135609,295165.99,2020
Hyderabad,Organic,4.79,63.81,7455.84,8,Landfill,1046.63,13,North Point Landfill,17.367356,78.19705,179548.12,2020
Lucknow,Construction,15.04,37.31,19619.31,2,Recycling,3079.51,3,Metro Waste Site,22.689983,72.175968,321850.82,2021
Hyderabad,Plastic,23.59,31.98,17955.42,6,Landfill,2058.34,11,North Point Landfill,17.048999,78.425307,365165.01,2022
Ahmedabad,Organic,22.39,62.61,15238.69,9,Incineration,1192.69,9,North Point Landfill,22.780183,72.534023,435453.53,2021
Ahmedabad,Organic,31.71,42.69,18452.06,8,Recycling,2000.52,12,Central Landfill,23.238325,72.980433,98044.72,2022
Lucknow,E-Waste,5.04,38.09,6701.04,2,Incineration,4632.98,2,Central Landfill,22.686024,72.462482,485012.04,2021
Visakhapatnam,Construction,9.01,43.82,7195.2,5,Incineration,3063.8,5,Metro Waste Site,23.19189,72.217157,230222.58,2019
Chennai,E-Waste,6.8,16.98,15109.22,1,Incineration,5191.14,2,East Zone Dump,13.446916,80.32884,274553.86,2019
Chennai,Hazardous,1.0,13.5,1820.51,2,Incineration,6356.7,1,North Point Landfill,12.671256,79.874009,296488.64,2021
Indore,Hazardous,35.38,32.3,17516.99,4,Landfill,5799.4,3,South City Dump,22.83043,72.776081,108908.19,2022
Pune,E-Waste,1.0,32.29,17162.38,2,Composting,4501.85,4,Central Landfill,18.593516,72.621847,417129.82,2019
Visakhapatnam,Hazardous,12.85,15.36,21750.61,1,Recycling,7191.62,1,Metro Waste Site,22.629093,72.729245,499712.73,2021
Indore,Plastic,1.0,62.22,2157.09,9,Incineration,1261.86,12,Metro Waste Site,22.850881,72.701609,308817.58,2023
Lucknow,Plastic,7.96,23.17,14522.53,3,Incineration,2892.6,4,Metro Waste Site,23.001682,72.097042,177211.44,2023
Jaipur,Construction,18.11,15.59,10124.69,2,Composting,3220.07,4,West Side Facility,22.953362,72.968114,44927.33,2021
Patna,Organic,41.44,35.04,23911.84,4,Composting,1938.83,5,East Zone Dump,22.795124,72.484949,69724.19,2022
Hyderabad,Hazardous,4.17,59.44,5347.58,10,Incineration,2301.37,7,South City Dump,17.309527,78.073739,409716.84,2022
Patna,Plastic,19.39,70.21,9964.23,10,Incineration,682.18,9,West Side Facility,23.292445,72.628037,135266.05,2020
Indore,Hazardous,16.69,38.85,8249.45,8,Incineration,3583.7,8,South City Dump,23.164472,72.678494,277881.73,2022
Thane,Construction,4.16,86.68,6566.73,9,Recycling,1852.92,6,Metro Waste Site,18.661658,73.271891,104014.99,2023
Bhopal,Organic,14.57,34.97,8760.92,6,Landfill,1810.04,8,Metro Waste Site,23.516639,72.733239,283313.87,2021
Visakhapatnam,Hazardous,13.73,22.36,18535.61,4,Landfill,5202.79,3,West Side Facility,22.870072,72.736312,399770.48,2020
Jaipur,Organic,28.7,56.99,23252.27,7,Recycling,1642.52,8,East Zone Dump,22.825628,72.334513,186466.84,2019
Delhi,Organic,1.0,48.9,3103.43,9,Landfill,1316.57,14,North Point Landfill,28.60708,76.776025,350526.03,2022
Indore,Hazardous,25.12,23.55,9306.39,4,Composting,6288.76,5,East Zone Dump,23.475298,72.896601,336490.37,2022
Nagpur,Organic,4.65,41.92,3922.29,5,Landfill,2019.34,3,East Zone Dump,23.142088,72.721601,84492.18,2019
Indore,Organic,1.0,41.29,2472.39,3,Composting,2370.21,3,East Zone Dump,22.59713,72.854096,140039.83,2019
Patna,Organic,1.0,31.66,5266.39,1,Composting,2033.82,0,Central Landfill,23.409104,72.521185,105365.03,2020
Thane,Hazardous,21.78,32.72,9826.22,6,Incineration,3722.69,3,South City Dump,19.11131,72.592902,15939.18,2022
Visakhapatnam,Construction,1.0,51.82,6788.83,5,Composting,2077.15,3,South City Dump,23.174211,72.882086,310899.84,2020
Bhopal,Construction,36.26,95.0,21629.57,10,Recycling,963.75,9,West Side Facility,23.363372,72.109826,451863.38,2021
Visakhapatnam,Construction,19.36,73.67,12075.46,7,Recycling,2089.6,5,Metro Waste Site,23.238823,72.143484,44915.8,2021
Thane,Plastic,1.0,37.7,1290.6,5,Incineration,1994.53,7,Metro Waste Site,19.000297,72.460318,262182.22,2020
Surat,E-Waste,30.22,70.1,22573.62,8,Landfill,2604.35,13,West Side Facility,22.860768,72.999484,120061.65,2020
Kolkata,Organic,9.47,70.28,9932.01,10,Recycling,900.56,7,North Point Landfill,22.718411,88.149807,409814.0,2020
Bangalore,Construction,29.88,34.93,21672.88,1,Incineration,3251.93,0,North Point Landfill,12.79166,77.847787,141972.34,2023
Thane,Construction,10.4,34.14,13949.35,2,Recycling,3368.08,2,Central Landfill,19.319424,72.989641,61906.05,2022
Nagpur,Hazardous,5.44,44.75,4637.66,7,Landfill,4398.04,11,Metro Waste Site,23.061196,72.595559,425543.42,2023
Nagpur,Construction,12.16,46.18,21159.14,1,Incineration,3976.65,2,Central Landfill,23.02455,72.196114,198834.18,2021
Nagpur,Construction,21.58,89.91,16440.76,10,Recycling,842.3,13,South City Dump,23.110702,72.552373,324739.51,2022
Ahmedabad,E-Waste,9.74,86.46,2556.49,10,Composting,2086.93,13,North Point Landfill,23.347549,72.569656,47758.56,2019
Nagpur,E-Waste,4.2,83.42,2405.22,10,Composting,1670.46,9,Metro Waste Site,22.743112,72.669625,370474.93,2020
Thane,Organic,32.11,56.09,24960.34,6,Landfill,1974.63,6,South City Dump,18.938235,72.712211,22836.39,2022
Mumbai,Plastic,1.0,50.47,1580.6,6,Composting,1660.19,7,Metro Waste Site,19.303939,72.874161,224056.84,2020
Thane,Organic,2.87,41.18,18508.2,6,Incineration,1500.21,3,Central Landfill,18.620595,72.413988,145102.73,2022
Lucknow,Organic,9.6,47.18,7614.7,8,Incineration,1184.65,7,North Point Landfill,22.759284,72.803849,278677.09,2021
Nagpur,E-Waste,2.02,66.76,4071.72,7,Incineration,3256.31,9,North Point Landfill,22.544535,72.791408,214815.07,2019
Bhopal,Plastic,1.0,48.4,3132.17,6,Landfill,1711.34,5,Metro Waste Site,23.468198,72.921375,337820.95,2021
Ahmedabad,Plastic,18.62,28.35,12095.09,3,Landfill,2181.6,2,Metro Waste Site,23.308778,72.272764,136724.21,2019
Ahmedabad,Organic,1.0,43.93,4952.95,4,Recycling,2112.46,3,Central Landfill,22.986431,72.98062,273963.88,2020
Kolkata,Construction,5.88,52.53,12947.5,6,Landfill,2278.42,3,Metro Waste Site,22.429271,88.621382,145456.43,2023
Pune,Construction,9.63,74.98,8496.38,9,Incineration,1854.77,10,Metro Waste Site,19.016323,72.992998,50897.4,2021
Hyderabad,Hazardous,46.54,30.68,22177.99,7,Landfill,4128.49,3,South City Dump,17.444756,78.5141,362483.27,2020
Jaipur,Plastic,37.55,35.7,22366.19,5,Landfill,2085.8,8,South City Dump,22.635443,72.158579,362347.95,2021
Nagpur,Construction,9.18,45.12,11082.85,2,Recycling,3757.12,3,Metro Waste Site,23.501605,72.705542,71869.72,2019
Ahmedabad,Plastic,19.1,21.82,17228.26,2,Incineration,2860.35,1,Metro Waste Site,22.591005,72.834555,210070.11,2023
Chennai,Hazardous,32.84,32.74,19221.97,4,Incineration,5832.91,4,Central Landfill,13.029756,80.231058,433636.17,2023
Indore,E-Waste,15.31,41.56,14119.56,3,Incineration,4198.31,5,Central Landfill,23.361961,73.053199,314458.8,2019
Indore,Construction,18.4,55.93,14420.44,7,Composting,2001.35,3,Central Landfill,23.089671,72.355228,414022.06,2021
Thane,Organic,7.39,82.07,2781.78,9,Recycling,1420.29,8,North Point Landfill,18.669857,73.287327,337908.13,2023
Surat,Hazardous,37.17,36.11,20902.88,8,Composting,3572.31,7,South City Dump,23.311302,72.711006,341448.92,2022
Indore,Hazardous,15.33,28.1,4160.64,4,Incineration,5943.72,3,West Side Facility,22.884353,72.543893,32367.89,2020
Bangalore,E-Waste,11.59,58.72,4360.58,10,Recycling,1775.07,11,North Point Landfill,12.678593,77.611173,12697.84,2022
Nagpur,E-Waste,1.0,61.02,1183.94,8,Composting,2664.04,6,Central Landfill,23.029912,72.945623,251837.82,2021
Hyderabad,Construction,34.65,50.63,17854.21,3,Incineration,2782.95,5,East Zone Dump,17.603429,78.940733,363482.79,2021
Lucknow,E-Waste,32.34,64.59,21709.13,7,Incineration,3056.38,8,South City Dump,23.16895,72.959439,303359.28,2023
Mumbai,Hazardous,29.83,24.18,13051.69,3,Landfill,6190.98,2,East Zone Dump,19.109967,72.519837,15736.24,2020
Indore,Construction,12.13,47.05,11128.82,3,Recycling,2948.96,2,South City Dump,22.909893,72.923241,207909.95,2022
Bhopal,Construction,5.84,91.92,2862.75,9,Landfill,1484.99,13,Central Landfill,23.412597,72.417277,85685.28,2021
Ahmedabad,Construction,1.0,36.52,1610.75,2,Recycling,3713.09,2,Metro Waste Site,23.510536,72.525402,347254.38,2021
Kanpur,Construction,1.0,55.63,4373.27,5,Incineration,2629.3,4,South City Dump,22.835706,72.218462,249047.09,2022
Patna,E-Waste,2.31,80.16,4121.15,10,Composting,2151.94,18,West Side Facility,22.908012,72.411787,275289.73,2021
Jaipur,E-Waste,7.95,27.78,4699.48,1,Landfill,4892.77,0,East Zone Dump,23.349315,72.780414,96813.75,2020
Lucknow,Plastic,15.8,44.69,13178.71,5,Recycling,1948.44,8,Metro Waste Site,22.917638,72.11086,243017.56,2020
Pune,Construction,4.26,33.35,14032.59,3,Incineration,3462.65,1,West Side Facility,19.32186,72.927022,38293.12,2019
Pune,E-Waste,33.37,67.02,17338.14,9,Incineration,2236.58,13,East Zone Dump,19.532047,72.578175,63539.46,2020
Jaipur,Plastic,36.62,8.22,21495.09,1,Recycling,2476.09,0,Metro Waste Site,22.55329,73.042933,118165.29,2021
Delhi,Plastic,28.24,32.97,18616.71,2,Incineration,2477.01,2,South City Dump,28.414805,77.559948,14343.01,2020
Bhopal,Plastic,45.96,56.02,24947.7,8,Incineration,968.13,3,Central Landfill,23.331683,72.955824,353016.79,2022
Bhopal,Construction,3.5,57.18,3505.7,7,Recycling,2022.69,7,West Side Facility,23.023124,72.865916,356472.37,2019
Surat,Construction,1.0,46.75,2205.42,2,Landfill,3278.29,1,Central Landfill,22.67483,72.337568,20793.19,2022
Bhopal,Plastic,12.98,49.24,14998.18,7,Landfill,2008.2,6,South City Dump,23.205117,72.313332,359836.79,2020
Kolkata,Hazardous,12.85,40.07,20740.84,8,Landfill,3967.13,7,West Side Facility,22.855617,88.578939,300808.02,2020
Chennai,Hazardous,35.28,50.02,22497.44,8,Recycling,3096.24,11,North Point Landfill,13.215412,80.474557,12138.0,2023
Nagpur,Construction,4.98,43.39,5006.87,5,Incineration,2481.87,6,North Point Landfill,23.021071,72.45652,434251.88,2023
Indore,E-Waste,16.6,35.9,12423.23,2,Landfill,5166.48,4,South City Dump,23.276523,72.107339,203419.83,2023
Chennai,Organic,34.42,25.22,23339.38,4,Recycling,2692.8,4,Metro Waste Site,12.640792,79.882212,262772.33,2021
Bangalore,Organic,12.83,46.11,7422.22,5,Recycling,2052.95,4,East Zone Dump,13.196456,77.972247,30411.84,2023
Bangalore,Organic,10.62,27.58,10543.54,1,Composting,3264.27,1,Central Landfill,12.488548,77.864758,405506.21,2022
Bhopal,E-Waste,1.0,45.84,3884.97,6,Recycling,3428.61,10,Central Landfill,22.674828,72.970855,357966.36,2021
Jaipur,Construction,22.68,39.39,23497.08,2,Recycling,3367.65,6,Central Landfill,22.888181,72.296781,105958.21,2021
Pune,Construction,2.07,82.12,4379.27,10,Recycling,1571.03,6,Central Landfill,19.38586,73.325095,175296.67,2020
Surat,Organic,34.07,56.9,18399.55,9,Landfill,1153.25,10,Central Landfill,22.5664,72.23715,228315.4,2020
Jaipur,Hazardous,4.3,10.4,6020.45,1,Incineration,6771.49,1,Metro Waste Site,22.929174,73.02442,266044.46,2022
Chennai,Construction,8.78,58.39,6258.82,5,Incineration,2401.41,10,Metro Waste Site,13.301031,80.01804,323901.44,2022
Surat,Hazardous,22.88,32.62,16998.41,4,Composting,5124.88,4,South City Dump,22.55167,72.55229,334592.67,2022
Bangalore,Hazardous,5.83,54.84,3844.06,9,Composting,3184.51,5,Central Landfill,12.915965,77.370148,314799.39,2021
Surat,Plastic,39.4,36.34,24818.61,4,Recycling,1958.81,4,Central Landfill,23.24166,72.634725,219475.9,2023
Mumbai,E-Waste,11.89,33.78,8832.12,3,Landfill,4596.5,3,South City Dump,19.16713,72.563836,172466.7,2020
Bhopal,Hazardous,25.91,46.68,21520.72,9,Composting,2804.11,10,Metro Waste Site,22.884676,72.794528,108274.52,2021
Hyderabad,Hazardous,11.69,37.04,5885.88,5,Composting,5246.17,6,North Point Landfill,17.255941,78.88864,405279.82,2019
Bhopal,E-Waste,34.64,61.85,24636.6,8,Incineration,2969.21,5,North Point Landfill,22.88421,73.020609,319758.15,2021
Chennai,Organic,1.0,24.23,4118.59,5,Composting,2047.12,11,West Side Facility,12.928042,80.10631,489477.48,2022
Jaipur,Construction,37.46,35.63,21556.89,1,Landfill,3312.49,2,South City Dump,22.547693,72.910397,15594.81,2022
Bangalore,E-Waste,18.75,35.65,17888.79,2,Incineration,4852.56,2,West Side Facility,12.976396,77.813054,432693.83,2019
Nagpur,Hazardous,12.33,20.66,5302.13,3,Composting,6316.24,3,Central Landfill,22.835363,73.006697,426833.33,2022
Delhi,Organic,20.2,35.67,24565.74,3,Incineration,2208.07,2,South City Dump,28.825392,76.93655,369022.53,2023
Bhopal,Construction,5.96,54.8,10708.66,6,Recycling,2186.9,8,Central Landfill,23.512862,72.396654,471223.5,2021
Patna,Organic,14.86,55.94,22953.55,8,Composting,1122.73,8,West Side Facility,22.809962,72.728156,484583.29,2022
Chennai,Plastic,20.57,41.85,15487.29,7,Recycling,1634.39,9,Metro Waste Site,12.756782,79.887766,230051.53,2020
Jaipur,Hazardous,25.57,34.85,15694.2,6,Composting,4889.99,5,Central Landfill,23.462152,72.291884,365605.7,2019
Ahmedabad,Plastic,26.76,45.1,15813.98,6,Landfill,1760.56,3,North Point Landfill,23.111954,72.684692,322467.24,2020
Bhopal,E-Waste,9.62,37.02,6808.53,4,Incineration,3396.77,4,South City Dump,23.407464,72.454684,251815.49,2022
Bhopal,Construction,13.33,80.21,7799.31,8,Composting,1591.01,12,East Zone Dump,22.950101,72.513946,328167.94,2023
Kolkata,Construction,40.96,32.75,23470.73,2,Recycling,3366.38,2,East Zone Dump,22.563696,88.791011,61642.68,2019
Surat,Construction,25.19,49.27,19346.58,6,Incineration,2577.11,5,West Side Facility,23.037506,72.606954,184874.13,2019
Jaipur,E-Waste,18.87,52.35,9490.94,4,Composting,3790.45,4,South City Dump,22.841109,72.974958,48043.98,2020
Thane,Hazardous,18.61,50.16,20892.91,7,Incineration,4126.03,6,North Point Landfill,18.693551,72.542984,10976.15,2021
Patna,Hazardous,33.77,16.48,18249.75,6,Composting,4665.3,6,North Point Landfill,22.734394,72.382402,91796.22,2021
Pune,Organic,9.12,52.24,6849.51,3,Composting,2849.43,4,South City Dump,18.903552,72.924385,291950.6,2020
Indore,Plastic,1.0,26.83,1531.4,1,Composting,2786.51,1,West Side Facility,23.287301,72.750298,388763.49,2022
Nagpur,Organic,25.67,15.53,23834.61,1,Landfill,2471.08,0,North Point Landfill,23.245944,72.607057,419697.67,2020
Visakhapatnam,Hazardous,29.62,46.42,20713.32,9,Landfill,3429.05,9,West Side Facility,23.39985,72.460805,275462.87,2022
Chennai,Hazardous,34.71,22.73,24233.58,4,Landfill,4937.03,3,North Point Landfill,12.952274,80.234939,364141.5,2020
Indore,Organic,28.12,29.41,16761.51,2,Composting,3053.9,0,Central Landfill,23.289015,72.655114,393160.39,2021
Lucknow,Hazardous,32.21,31.52,19041.93,7,Composting,3630.56,9,Metro Waste Site,22.937471,72.784178,199243.88,2019
Lucknow,Hazardous,19.58,53.95,15124.12,9,Incineration,2952.98,10,North Point Landfill,23.461568,72.707774,169010.78,2022
Patna,Plastic,13.83,23.03,7468.28,5,Landfill,2313.35,5,South City Dump,22.954846,72.102549,137192.46,2020
Jaipur,Organic,6.0,55.21,1808.23,5,Landfill,2106.77,7,Metro Waste Site,23.270505,72.884114,356350.55,2022
Chennai,Plastic,57.16,20.15,24214.33,4,Recycling,2251.66,3,North Point Landfill,12.662922,80.082896,17714.03,2021
Mumbai,Plastic,1.69,65.01,1411.59,8,Landfill,2006.01,15,West Side Facility,19.571631,73.358818,328259.38,2021
Kanpur,E-Waste,42.05,47.54,20305.94,4,Recycling,4241.47,3,North Point Landfill,23.166757,73.045648,44202.32,2020
Visakhapatnam,Construction,19.03,41.49,14312.51,1,Recycling,3376.06,1,South City Dump,23.359867,72.241128,19380.99,2020
Hyderabad,Plastic,4.95,33.88,19698.46,7,Composting,1672.97,8,South City Dump,17.58764,78.053228,123089.38,2023
Ahmedabad,Construction,45.44,48.61,22976.13,4,Recycling,3046.81,7,South City Dump,23.419866,72.694031,486957.48,2020
Thane,E-Waste,4.64,53.06,12160.23,5,Incineration,3702.92,3,North Point Landfill,18.786793,72.607066,239862.53,2019
Thane,E-Waste,6.1,74.25,7445.49,10,Recycling,1806.16,6,Metro Waste Site,18.584706,72.533271,111563.76,2019
Thane,E-Waste,7.36,54.74,16133.94,8,Incineration,2406.18,6,South City Dump,19.379805,72.514848,294542.55,2022
Surat,Construction,20.52,58.7,13132.21,8,Recycling,1812.6,9,West Side Facility,23.384703,72.385275,273631.13,2022
Bhopal,Plastic,22.15,35.74,21162.59,1,Composting,3352.8,1,East Zone Dump,23.322218,72.194633,352280.01,2023
Kanpur,Hazardous,11.67,51.61,10987.49,8,Incineration,3123.47,9,West Side Facility,22.801143,72.29011,99590.51,2019
